"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2025","614.90","614.90","614.90","614.90","506.27K","0.00%"
"12/12/2025","614.90","614.90","614.90","614.90","573.94K","0.00%"
"12/11/2025","614.90","614.90","614.90","614.90","281.94K","0.00%"
"12/10/2025","614.90","614.90","614.90","614.90","959.43K","0.00%"
"12/09/2025","614.90","614.90","614.90","614.90","738.17K","0.00%"
"12/08/2025","614.90","614.90","614.90","614.90","533.35K","0.00%"
"12/05/2025","614.90","588.00","614.90","614.90","239.47K","4.57%"
"12/04/2025","588.00","588.00","588.00","588.00","213.91K","0.00%"
"12/03/2025","588.00","588.00","588.00","588.00","165.48K","0.00%"
"12/02/2025","588.00","534.60","588.00","588.00","713.13K","9.99%"
"12/01/2025","534.60","534.60","534.60","534.60","312.33K","0.00%"
"11/28/2025","534.60","534.60","534.60","534.60","436.55K","0.00%"
"11/27/2025","534.60","534.60","534.60","534.60","545.73K","0.00%"
"11/26/2025","534.60","534.60","534.60","534.60","132.89K","0.00%"
"11/25/2025","534.60","534.60","534.60","534.60","243.83K","0.00%"
"11/24/2025","534.60","534.60","534.60","534.60","402.92K","0.00%"
"11/21/2025","534.60","534.60","534.60","534.60","208.96K","0.00%"
"11/20/2025","534.60","534.60","534.60","534.60","225.12K","0.00%"
"11/19/2025","534.60","534.60","534.60","534.60","320.28K","0.00%"
"11/18/2025","534.60","534.60","534.60","534.60","126.73K","0.00%"
"11/17/2025","534.60","594.00","534.60","534.60","537.17K","-10.00%"
"11/14/2025","594.00","594.00","594.00","594.00","343.19K","0.00%"
"11/13/2025","594.00","594.00","594.00","594.00","3.38M","0.00%"
"11/12/2025","594.00","594.00","594.00","594.00","2.13M","0.00%"
"11/11/2025","594.00","660.00","600.00","594.00","1.77M","-10.00%"
"11/10/2025","660.00","660.00","660.00","660.00","3.63M","0.00%"
"11/07/2025","660.00","660.00","660.00","660.00","1.77M","0.00%"
"11/06/2025","660.00","660.00","660.00","660.00","2.52M","0.00%"
"11/05/2025","660.00","660.00","660.00","660.00","211.30K","0.00%"
"11/04/2025","660.00","660.00","660.00","660.00","129.20K","0.00%"
"11/03/2025","660.00","660.00","660.00","660.00","109.33K","0.00%"
"10/31/2025","660.00","660.00","660.00","660.00","583.99K","0.00%"
"10/30/2025","660.00","660.00","660.00","660.00","411.13K","0.00%"
"10/29/2025","660.00","665.00","660.00","660.00","398.65K","-0.75%"
"10/28/2025","665.00","665.00","665.00","665.00","7.54M","0.00%"
"10/27/2025","665.00","665.00","665.00","665.00","2.52M","0.00%"
"10/24/2025","665.00","649.30","665.00","665.00","1.21M","2.42%"
"10/23/2025","649.30","639.00","649.30","640.00","886.82K","1.61%"
"10/22/2025","639.00","600.00","639.00","639.00","847.59K","6.50%"
"10/21/2025","600.00","600.00","656.00","600.00","3.40M","0.00%"
"10/20/2025","600.00","600.00","600.00","600.00","3.36M","0.00%"
"10/17/2025","600.00","599.80","600.00","600.00","4.40M","0.03%"
"10/16/2025","599.80","585.60","599.80","599.80","1.70M","2.42%"
"10/15/2025","585.60","585.60","585.60","585.60","336.90K","0.00%"
"10/14/2025","585.60","585.00","585.60","585.30","4.01M","0.10%"
"10/13/2025","585.00","575.00","585.00","585.00","1.36M","1.74%"
"10/10/2025","575.00","540.00","575.00","575.00","2.02M","6.48%"
"10/09/2025","540.00","530.00","540.00","540.00","20.92M","1.89%"
"10/08/2025","530.00","530.00","530.00","530.00","482.68K","0.00%"
"10/07/2025","530.00","525.10","530.00","527.00","2.98M","0.93%"
"10/06/2025","525.10","525.10","525.10","525.10","459.90K","0.00%"
"10/03/2025","525.10","525.10","525.10","525.10","314.52K","0.00%"
"10/02/2025","525.10","525.10","525.10","525.10","181.54K","0.00%"
"09/30/2025","525.10","525.10","525.10","525.10","83.99K","0.00%"
"09/29/2025","525.10","525.10","525.10","525.10","158.53K","0.00%"
"09/26/2025","525.10","516.20","525.10","525.10","928.47K","1.72%"
"09/25/2025","516.20","516.20","516.20","516.20","288.63K","0.00%"
"09/24/2025","516.20","516.20","516.20","516.20","284.53K","0.00%"
"09/23/2025","516.20","516.20","516.20","516.20","105.61K","0.00%"
"09/22/2025","516.20","516.20","516.20","516.20","204.11K","0.00%"
"09/19/2025","516.20","516.20","516.20","516.20","551.03K","0.00%"
"09/18/2025","516.20","516.20","516.20","516.20","149.98K","0.00%"
"09/17/2025","516.20","511.20","516.20","516.00","3.01M","0.98%"
"09/16/2025","511.20","511.20","511.20","511.20","410.81K","0.00%"
"09/15/2025","511.20","511.20","511.20","511.20","389.75K","0.00%"
"09/12/2025","511.20","528.00","511.20","511.20","1.05M","-3.18%"
"09/11/2025","528.00","528.00","528.00","528.00","809.94K","0.00%"
"09/10/2025","528.00","520.20","528.00","528.00","1.33M","1.50%"
"09/09/2025","520.20","520.20","520.20","520.20","93.30K","0.00%"
"09/08/2025","520.20","520.20","520.20","520.20","124.08K","0.00%"
"09/04/2025","520.20","520.20","520.20","520.20","198.46K","0.00%"
"09/03/2025","520.20","520.20","520.20","520.20","1.47M","0.00%"
"09/02/2025","520.20","520.20","520.20","520.20","710.83K","0.00%"
"09/01/2025","520.20","520.20","520.20","520.20","181.77K","0.00%"
"08/29/2025","520.20","520.20","520.20","520.20","187.33K","0.00%"
"08/28/2025","520.20","520.00","520.20","520.20","799.32K","0.04%"
"08/27/2025","520.00","520.00","520.00","520.00","317.17K","0.00%"
"08/26/2025","520.00","520.00","520.00","520.00","306.28K","0.00%"
"08/25/2025","520.00","520.00","520.00","520.00","111.46K","0.00%"
"08/22/2025","520.00","520.00","520.00","520.00","311.11K","0.00%"
"08/21/2025","520.00","520.00","520.00","520.00","756.44K","0.00%"
"08/20/2025","520.00","520.00","520.00","520.00","565.38K","0.00%"
"08/19/2025","520.00","577.00","520.00","520.00","2.60M","-9.88%"
"08/18/2025","577.00","577.00","577.00","577.00","459.20K","0.00%"
"08/15/2025","577.00","577.00","577.00","577.00","133.37K","0.00%"
"08/14/2025","577.00","577.00","577.00","577.00","179.03K","0.00%"
"08/13/2025","577.00","577.00","577.00","577.00","791.37K","0.00%"
"08/12/2025","577.00","577.00","577.00","577.00","4.44M","0.00%"
"08/11/2025","577.00","577.00","577.00","577.00","1.52M","0.00%"
"08/08/2025","577.00","577.00","577.00","577.00","13.64M","0.00%"
"08/07/2025","577.00","577.00","577.00","577.00","5.18M","0.00%"
"08/06/2025","577.00","577.00","577.00","577.00","2.72M","0.00%"
"08/05/2025","577.00","577.00","577.00","577.00","1.09M","0.00%"
"08/04/2025","577.00","528.30","577.00","540.00","2.90M","9.22%"
"08/01/2025","528.30","528.30","528.30","528.30","689.62K","0.00%"
"07/31/2025","528.30","509.60","528.30","510.90","5.58M","3.67%"
"07/30/2025","509.60","509.60","509.60","509.60","3.59M","0.00%"
"07/29/2025","509.60","494.50","509.60","509.00","2.47M","3.05%"
"07/28/2025","494.50","493.00","500.00","494.50","3.00M","0.30%"
"07/25/2025","493.00","490.00","493.00","493.00","1.19M","0.61%"
"07/24/2025","490.00","490.00","490.00","490.00","986.55K","0.00%"
"07/23/2025","490.00","489.00","490.00","490.00","2.66M","0.20%"
"07/22/2025","489.00","489.00","489.00","489.00","2.62M","0.00%"
"07/21/2025","489.00","495.00","489.00","486.00","2.46M","-1.21%"
"07/18/2025","495.00","473.30","495.00","495.00","2.27M","4.58%"
"07/17/2025","473.30","430.30","473.30","430.50","4.53M","9.99%"
"07/16/2025","430.30","430.00","430.30","430.30","2.41M","0.07%"
"07/14/2025","430.00","425.00","430.00","430.00","2.46M","1.18%"
"07/11/2025","425.00","425.00","425.00","425.00","4.04M","0.00%"
"07/10/2025","425.00","425.00","425.00","425.00","1.58M","0.00%"
"07/09/2025","425.00","425.00","425.00","425.00","1.28M","0.00%"
"07/08/2025","425.00","425.00","425.00","425.00","1.04M","0.00%"
"07/07/2025","425.00","425.00","425.00","425.00","889.64K","0.00%"
"07/04/2025","425.00","425.00","425.00","425.00","316.63K","0.00%"
"07/03/2025","425.00","425.00","425.00","425.00","172.62K","0.00%"
"07/02/2025","425.00","425.00","425.00","425.00","284.98K","0.00%"
"07/01/2025","425.00","440.00","425.00","425.00","729.83K","-3.41%"
"06/30/2025","440.00","440.00","440.00","440.00","244.68K","0.00%"
"06/27/2025","440.00","440.00","440.00","440.00","562.51K","0.00%"
"06/26/2025","440.00","440.00","440.00","440.00","413.25K","0.00%"
"06/25/2025","440.00","440.00","440.00","440.00","718.64K","0.00%"
"06/24/2025","440.00","440.00","440.00","440.00","678.76K","0.00%"
"06/23/2025","440.00","440.00","440.00","440.00","318.53K","0.00%"
"06/20/2025","440.00","440.00","440.00","440.00","186.18K","0.00%"
"06/19/2025","440.00","440.00","440.00","440.00","2.28M","0.00%"
"06/18/2025","440.00","438.90","440.00","440.00","2.62M","0.25%"
"06/17/2025","438.90","438.90","438.90","438.90","482.89K","0.00%"
"06/16/2025","438.90","438.90","438.90","438.90","646.93K","0.00%"
"06/13/2025","438.90","438.90","438.90","438.90","236.12K","0.00%"
"06/11/2025","438.90","420.00","438.90","430.00","572.36K","4.50%"
"06/10/2025","420.00","420.00","420.00","420.00","666.89K","-6.67%"
"06/05/2025","450.00","450.00","450.00","450.00","928.33K","0.00%"
"06/04/2025","450.00","450.00","450.00","450.00","617.87K","0.00%"
"06/03/2025","450.00","440.00","450.00","450.00","714.30K","2.27%"
"06/02/2025","440.00","440.00","440.00","440.00","226.16K","0.00%"
"05/30/2025","440.00","440.00","440.00","440.00","400.10K","0.00%"
"05/29/2025","440.00","440.00","440.00","440.00","358.94K","0.00%"
"05/28/2025","440.00","440.00","440.00","440.00","523.56K","0.00%"
"05/27/2025","440.00","440.00","440.00","440.00","337.55K","0.00%"
"05/26/2025","440.00","440.00","440.00","440.00","291.08K","0.00%"
"05/23/2025","440.00","440.00","440.00","440.00","454.76K","0.00%"
"05/22/2025","440.00","440.00","440.00","440.00","220.22K","0.00%"
"05/21/2025","440.00","440.00","440.00","440.00","220.76K","0.00%"
"05/20/2025","440.00","440.00","440.00","440.00","315.51K","0.00%"
"05/19/2025","440.00","440.00","440.00","440.00","158.10K","0.00%"
"05/16/2025","440.00","440.00","440.00","440.00","342.50K","0.00%"
"05/15/2025","440.00","440.00","440.00","440.00","553.16K","0.00%"
"05/14/2025","440.00","440.00","440.00","440.00","401.00K","0.00%"
"05/13/2025","440.00","440.00","440.00","440.00","230.11K","0.00%"
"05/12/2025","440.00","440.00","440.00","440.00","289.15K","0.00%"
"05/09/2025","440.00","440.00","440.00","440.00","1.10M","0.00%"
"05/08/2025","440.00","432.00","440.00","440.00","1.76M","1.85%"
"05/07/2025","432.00","432.00","432.00","432.00","232.15K","0.00%"
"05/06/2025","432.00","432.00","432.00","432.00","387.97K","0.00%"
"05/05/2025","432.00","432.00","432.00","432.00","349.17K","0.00%"
"05/02/2025","432.00","432.00","432.00","432.00","478.56K","0.00%"
"04/30/2025","432.00","432.00","432.00","432.00","209.28K","0.00%"
"04/29/2025","432.00","432.00","432.00","432.00","459.33K","0.00%"
"04/28/2025","432.00","432.00","432.00","432.00","604.07K","0.00%"
"04/25/2025","432.00","435.00","435.00","432.00","1.45M","-10.00%"
"04/24/2025","480.00","480.00","480.00","480.00","87.33K","0.00%"
"04/23/2025","480.00","480.00","480.00","480.00","75.21K","0.00%"
"04/22/2025","480.00","480.00","480.00","480.00","33.69K","0.00%"
"04/17/2025","480.00","480.00","480.00","480.00","30.40K","0.00%"
"04/16/2025","480.00","480.00","480.00","480.00","53.76K","0.00%"
"04/15/2025","480.00","480.00","480.00","480.00","25.38K","0.00%"
"04/14/2025","480.00","480.00","480.00","480.00","35.37K","0.00%"
"04/11/2025","480.00","480.00","480.00","480.00","48.73K","0.00%"
"04/10/2025","480.00","480.00","480.00","480.00","45.83K","0.00%"
"04/09/2025","480.00","480.00","480.00","480.00","44.90K","0.00%"
"04/08/2025","480.00","480.00","480.00","480.00","56.08K","0.00%"
"04/07/2025","480.00","480.00","480.00","480.00","42.95K","0.00%"
"04/04/2025","480.00","480.00","480.00","480.00","31.92K","0.00%"
"04/03/2025","480.00","480.00","480.00","480.00","154.49K","0.00%"
"04/02/2025","480.00","480.00","480.00","480.00","42.53K","0.00%"
"03/28/2025","480.00","480.00","480.00","480.00","13.89K","0.00%"
"03/27/2025","480.00","480.00","480.00","480.00","80.62K","0.00%"
"03/26/2025","480.00","480.00","480.00","480.00","74.88K","0.00%"
"03/25/2025","480.00","480.00","480.00","480.00","76.07K","0.00%"
"03/24/2025","480.00","480.00","480.00","480.00","44.80K","0.00%"
"03/21/2025","480.00","480.00","480.00","480.00","28.62K","0.00%"
"03/20/2025","480.00","480.00","480.00","480.00","115.30K","0.00%"
"03/19/2025","480.00","480.00","480.00","480.00","34.56K","0.00%"
"03/18/2025","480.00","480.00","480.00","480.00","72.62K","0.00%"
"03/17/2025","480.00","480.00","480.00","480.00","32.69K","0.00%"
"03/14/2025","480.00","480.00","480.00","480.00","162.84K","0.00%"
"03/13/2025","480.00","480.00","480.00","480.00","101.40K","0.00%"
"03/12/2025","480.00","480.00","480.00","480.00","421.76K","0.00%"
"03/11/2025","480.00","480.00","480.00","480.00","64.12K","0.00%"
"03/10/2025","480.00","480.00","480.00","480.00","150.94K","0.00%"
"03/07/2025","480.00","480.00","480.00","480.00","129.84K","0.00%"
"03/06/2025","480.00","480.00","480.00","480.00","139.18K","0.00%"
"03/05/2025","480.00","480.00","480.00","480.00","80.71K","0.00%"
"03/04/2025","480.00","480.00","480.00","480.00","119.58K","0.00%"
"03/03/2025","480.00","480.00","480.00","480.00","708.04K","0.00%"
"02/28/2025","480.00","480.00","480.00","480.00","41.16K","0.00%"
"02/27/2025","480.00","480.00","480.00","480.00","95.36K","0.00%"
"02/26/2025","480.00","480.00","480.00","480.00","293.56K","0.00%"
"02/25/2025","480.00","480.00","480.00","480.00","333.59K","0.00%"
"02/24/2025","480.00","480.00","480.00","480.00","410.04K","0.00%"
"02/21/2025","480.00","480.00","480.00","480.00","359.33K","0.00%"
"02/20/2025","480.00","480.00","480.00","480.00","340.32K","0.00%"
"02/19/2025","480.00","480.00","480.00","480.00","370.46K","0.00%"
"02/18/2025","480.00","480.00","480.00","480.00","319.75K","0.00%"
"02/17/2025","480.00","480.00","480.00","480.00","787.94K","0.00%"
"02/14/2025","480.00","474.10","489.00","480.00","5.06M","1.24%"
"02/13/2025","474.10","431.00","474.10","470.00","1.04M","10.00%"
"02/12/2025","431.00","414.90","431.00","431.00","1.11M","3.88%"
"02/11/2025","414.90","394.00","414.90","414.90","1.12M","5.30%"
"02/10/2025","394.00","394.00","394.00","394.00","496.01K","0.00%"
"02/07/2025","394.00","394.00","394.00","394.00","452.35K","0.00%"
"02/06/2025","394.00","394.00","394.00","394.00","508.06K","0.00%"
"02/05/2025","394.00","394.00","394.00","394.00","799.85K","0.00%"
"02/04/2025","394.00","394.00","394.00","394.00","477.93K","0.00%"
"02/03/2025","394.00","394.00","394.00","394.00","160.49K","0.00%"
"01/31/2025","394.00","394.00","394.00","394.00","1.02M","0.00%"
"01/30/2025","394.00","385.00","394.00","385.00","1.27M","2.34%"
"01/29/2025","385.00","385.00","385.00","385.00","453.29K","0.00%"
"01/28/2025","385.00","400.00","385.00","385.00","1.27M","-3.75%"
"01/27/2025","400.00","400.00","400.00","400.00","443.45K","0.00%"
"01/24/2025","400.00","400.00","400.00","400.00","695.52K","0.00%"
"01/23/2025","400.00","400.00","400.00","400.00","661.22K","0.00%"
"01/22/2025","400.00","400.00","400.00","400.00","1.12M","0.00%"
"01/21/2025","400.00","400.00","400.00","400.00","471.69K","0.00%"
"01/20/2025","400.00","400.00","400.00","400.00","213.18K","0.00%"
"01/17/2025","400.00","400.00","400.00","400.00","749.52K","0.00%"
"01/16/2025","400.00","387.90","400.00","349.20","6.64M","3.12%"
"01/15/2025","387.90","431.00","387.90","387.90","932.12K","-10.00%"
"01/14/2025","431.00","478.80","431.00","431.00","170.82K","-9.98%"
"01/13/2025","478.80","478.80","478.80","478.80","78.13K","0.00%"
"01/10/2025","478.80","478.80","478.80","478.80","197.31K","0.00%"
"01/09/2025","478.80","478.80","478.80","478.80","217.31K","0.00%"
"01/08/2025","478.80","478.80","478.80","478.80","65.91K","0.00%"
"01/07/2025","478.80","478.80","478.80","478.80","53.53K","0.00%"
"01/06/2025","478.80","478.80","478.80","478.80","59.25K","0.00%"
"01/03/2025","478.80","478.80","478.80","478.80","37.70K","0.00%"
"01/02/2025","478.80","478.80","478.80","478.80","29.83K","0.00%"
"12/31/2024","478.80","478.80","478.80","478.80","18.28K","0.00%"
"12/30/2024","478.80","478.80","478.80","478.80","222.45K","0.00%"
"12/27/2024","478.80","478.80","478.80","478.80","42.38K","0.00%"
"12/24/2024","478.80","478.80","478.80","478.80","30.49K","0.00%"
"12/23/2024","478.80","478.80","478.80","478.80","57.98K","0.00%"
"12/20/2024","478.80","478.80","478.80","478.80","116.49K","0.00%"
"12/19/2024","478.80","478.80","478.80","478.80","5.35M","0.00%"
"12/18/2024","478.80","478.80","478.80","478.80","217.67K","0.00%"
"12/17/2024","478.80","478.80","478.80","478.80","61.23K","0.00%"
"12/16/2024","478.80","478.80","478.80","478.80","24.92K","0.00%"
"12/13/2024","478.80","478.80","478.80","478.80","35.97K","0.00%"
"12/12/2024","478.80","478.80","478.80","478.80","13.69K","0.00%"
"12/11/2024","478.80","478.80","478.80","478.80","8.89K","0.00%"
"12/10/2024","478.80","478.80","478.80","478.80","11.44K","0.00%"
"12/09/2024","478.80","478.80","478.80","478.80","33.73K","0.00%"
"12/06/2024","478.80","478.80","478.80","478.80","6.54K","0.00%"
"12/05/2024","478.80","478.80","478.80","478.80","4.03K","0.00%"
"12/04/2024","478.80","478.80","478.80","478.80","11.46K","0.00%"
"12/03/2024","478.80","478.80","478.80","478.80","45.08K","0.00%"
"12/02/2024","478.80","478.80","478.80","478.80","11.80K","0.00%"
"11/29/2024","478.80","478.80","478.80","478.80","67.62K","0.00%"
"11/28/2024","478.80","478.80","478.80","478.80","36.88K","0.00%"
"11/27/2024","478.80","478.80","478.80","478.80","3.78K","0.00%"
"11/26/2024","478.80","478.80","478.80","478.80","24.12K","0.00%"
"11/25/2024","478.80","478.80","478.80","478.80","68.03K","0.00%"
"11/22/2024","478.80","478.80","478.80","478.80","22.92K","0.00%"
"11/21/2024","478.80","478.80","478.80","478.80","58.24K","0.00%"
"11/20/2024","478.80","478.80","478.80","478.80","91.37K","0.00%"
"11/19/2024","478.80","478.80","478.80","478.80","114.58K","0.00%"
"11/18/2024","478.80","478.80","478.80","478.80","14.47K","0.00%"
"11/15/2024","478.80","478.80","478.80","478.80","98.37K","0.00%"
"11/14/2024","478.80","478.80","478.80","478.80","104.02K","0.00%"
"11/13/2024","478.80","478.80","478.80","478.80","13.46K","0.00%"
"11/12/2024","478.80","478.80","478.80","478.80","4.83K","0.00%"
"11/11/2024","478.80","478.80","478.80","478.80","4.85K","0.00%"
"11/08/2024","478.80","478.80","478.80","478.80","10.97K","0.00%"
"11/07/2024","478.80","478.80","478.80","478.80","10.19K","0.00%"
"11/06/2024","478.80","478.80","478.80","478.80","8.20K","0.00%"
"11/05/2024","478.80","478.80","478.80","478.80","12.15K","0.00%"
"11/04/2024","478.80","478.80","478.80","478.80","33.75K","0.00%"
"11/01/2024","478.80","478.80","478.80","478.80","34.43K","0.00%"
"10/31/2024","478.80","478.80","478.80","478.80","32.31K","0.00%"
"10/30/2024","478.80","478.80","478.80","478.80","7.22K","0.00%"
"10/29/2024","478.80","478.80","478.80","478.80","9.35K","0.00%"
"10/28/2024","478.80","478.80","478.80","478.80","17.72K","0.00%"
"10/25/2024","478.80","478.80","478.80","478.80","21.77K","0.00%"
"10/24/2024","478.80","478.80","478.80","478.80","23.70K","0.00%"
"10/23/2024","478.80","478.80","478.80","478.80","17.55K","0.00%"
"10/22/2024","478.80","478.80","478.80","478.80","8.95K","0.00%"
"10/21/2024","478.80","478.80","478.80","478.80","16.74K","0.00%"
"10/18/2024","478.80","478.80","478.80","478.80","2.09K","0.00%"
"10/17/2024","478.80","478.80","478.80","478.80","2.24K","0.00%"
"10/16/2024","478.80","478.80","478.80","478.80","6.67K","0.00%"
"10/15/2024","478.80","478.80","478.80","478.80","9.79K","0.00%"
"10/14/2024","478.80","478.80","478.80","478.80","17.74K","0.00%"
"10/11/2024","478.80","478.80","478.80","478.80","10.08K","0.00%"
"10/10/2024","478.80","478.80","478.80","478.80","10.32K","0.00%"
"10/09/2024","478.80","478.80","478.80","478.80","15.02K","0.00%"
"10/08/2024","478.80","478.80","478.80","478.80","14.95K","0.00%"
"10/07/2024","478.80","478.80","478.80","478.80","39.15K","0.00%"
"10/04/2024","478.80","478.80","478.80","478.80","340.32K","0.00%"
"10/03/2024","478.80","532.00","478.80","478.80","154.50K","-10.00%"
"10/02/2024","532.00","532.00","532.00","532.00","182.38K","0.00%"
"09/30/2024","532.00","532.00","532.00","532.00","3.58K","0.00%"
"09/27/2024","532.00","532.00","532.00","532.00","124.43K","0.00%"
"09/26/2024","532.00","532.00","532.00","532.00","67.31K","0.00%"
